"region","poorpop","totalpop","regionpop","OBJECTID"
"Central, Albania",0,2880703,1287627,12
"Mountain, Albania",128,2880703,247141,13
"Coastal, Albania",0,2880703,851223,11
"Tirana, Albania",0,2880703,494712,14
"Yerevan, Armenia",0,2916950,916466,4333
"Aragatsotn, Armenia",0,2916950,142889,4332
"Ararat, Armenia",0,2916950,251945,4334
"Armavir, Armenia",0,2916950,233824,4335
"Gegharkunik, Armenia",478,2916950,222222,4336
"Lori, Armenia",0,2916950,238517,4337
"Kotayk, Armenia",0,2916950,295287,4338
"Shirak, Armenia",0,2916950,253244,4339
"Syunik, Armenia",0,2916950,165654,4340
"Vayots Dzor, Armenia",0,2916950,61774,4341
"Tavush, Armenia",0,2916950,135128,4342
"Benguela        , Angola",2514,27859305,2343418,4294
"Lunda Sul       , Angola",0,27859305,493118,4286
"Luanda          , Angola",0,27859305,8527197,4284
"Cuando Cubango  , Angola",0,27859305,610309,4281
"Namibe          , Angola",8485,27859305,351387,4288
"Cabinda         , Angola",0,27859305,687652,4293
"Cuanza Sul      , Angola",0,27859305,2358169,4283
"Malanje         , Angola",0,27859305,1142594,4292
"Huíla           , Angola",18675,27859305,2312240,4280
"Lunda Norte     , Angola",0,27859305,852910,4285
"Huambo          , Angola",0,27859305,1989678,4279
"Moxico          , Angola",0,27859305,764443,4287
"Zaire           , Angola",0,27859305,593306,4290
"Bié             , Angola",0,27859305,1461183,4277
"Bengo           , Angola",261,27859305,385942,4291
"Cuanza Norte    , Angola",0,27859305,473189,4282
"Cunene          , Angola",46272,27859305,947440,4278
"Uíge            , Angola",0,27859305,1565132,4289
"Barisal, Bangladesh",6689,161200886,9983499,3952
"Chittagong, Bangladesh",0,161200886,28864274,3953
"Dhaka, Bangladesh",52960,161200886,56341201,3954
"Khulna, Bangladesh",26769,161200886,16638523,3956
"Rajshahi, Bangladesh",34699,161200886,19985598,3955
"Rangpur, Bangladesh",79210,161200886,18853669,3957
"Sylhet, Bangladesh",42397,161200886,10534121,3958
"Boucle du Mouhoun, Burkina Faso",0,18110624,1797223,237
"Cascades, Burkina Faso",0,18110624,569166,238
"Centre, Burkina Faso",0,18110624,2551424,239
"Centre-Est, Burkina Faso",0,18110624,1306256,240
"Sud-Ouest, Burkina Faso",0,18110624,1069348,249
"Centre-Nord, Burkina Faso",10373,18110624,1382013,241
"Centre-Ouest, Burkina Faso",0,18110624,1298110,242
"Centre-Sud, Burkina Faso",0,18110624,673921,243
"Est, Burkina Faso",40512,18110624,1388137,244
"Hauts-Bassins, Burkina Faso",0,18110624,2531984,245
"Nord, Burkina Faso",0,18110624,1529040,246
"Plateau Central, Burkina Faso",0,18110624,743327,247
"Sahel, Burkina Faso",24472,18110624,1270674,248
"Alibori, Benin",9196,10575952,520139,3560
"Atacora, Benin",21401,10575952,759170,3561
"Atlantique, Benin",373,10575952,1403488,3562
"Mono, Benin",0,10575952,691716,3568
"Borgou, Benin",13468,10575952,775618,3563
"Collines, Benin",3890,10575952,776752,3564
"Couffo, Benin",1081,10575952,722456,3565
"Donga, Benin",2005,10575952,378128,3566
"Littoral, Benin",0,10575952,1515645,3567
"Oueme, Benin",0,10575952,1316676,3569
"Plateau, Benin",326,10575952,667992,3570
"Zou, Benin",311,10575952,1048174,3571
"Chuquisaca, Bolivia",1555,10724705,670853,175
"La Paz, Bolivia",0,10724705,3314060,176
"Cochabamba, Bolivia",1946,10724705,1965165,177
"Santa Cruz, Bolivia",308,10724705,2146164,181
"Oruro, Bolivia",0,10724705,649357,178
"Potosi, Bolivia",2907,10724705,1116963,179
"Tarija, Bolivia",0,10724705,494189,180
"Beni, Bolivia",0,10724705,308164,182
"Pando, Bolivia",0,10724705,59791,183
"Cankuzo , Burundi",1741,10199270,299748,5163
"Karusi , Burundi",2005,10199270,530375,5166
"Ruyigi , Burundi",9014,10199270,507042,5176
"Bujumbura Mairie , Burundi",238,10199270,630672,5161
"Rutana , Burundi",2091,10199270,419494,5175
"Gitega , Burundi",1582,10199270,848902,5165
"Ngozi , Burundi",9780,10199270,908026,5173
"Cibitoke , Burundi",3097,10199270,602766,5164
"Muramvya , Burundi",705,10199270,377338,5170
"Mwaro , Burundi",399,10199270,340694,5172
"Kirundo , Burundi",20016,10199270,790524,5168
"Kayanza , Burundi",1571,10199270,739239,5167
"Bubanza , Burundi",5632,10199270,483581,5159
"Muyinga , Burundi",16090,10199270,777601,5171
"Bujumbura Rural, Burundi",1949,10199270,594948,5160
"Makamba , Burundi",0,10199270,522825,5169
"Bururi , Burundi",0,10199270,335816,5162
"Rumonge , Burundi",0,10199270,489679,5174
"Equateur, Congo, Dem. Rep.",117348,76196619,8250141,3507
"Kinshasa, Congo, Dem. Rep.",0,76196619,6373919,3511
"Bandundu, Congo, Dem. Rep.",93240,76196619,11418755,3505
"Sud-Kivu, Congo, Dem. Rep.",20188,76196619,5648156,3515
"Orientale, Congo, Dem. Rep.",61412,76196619,6922780,3514
"Kasai-Occidental, Congo, Dem. Rep.",66942,76196619,4634583,3508
"Bas-Congo, Congo, Dem. Rep.",70120,76196619,10525453,3506
"Nord-Kivu, Congo, Dem. Rep.",9035,76196619,5524282,3513
"Katanga, Congo, Dem. Rep.",19922,76196619,7299591,3510
"Kasai-Oriental, Congo, Dem. Rep.",62346,76196619,7021440,3509
"Maniema, Congo, Dem. Rep.",18362,76196619,2577519,3512
"South, Cote d'Ivoire",2213,23108472,3964631,2861
"West, Cote d'Ivoire",21851,23108472,2555973,2860
"Northeast, Cote d'Ivoire",4046,23108472,1046909,2858
"North Central, Cote d'Ivoire",2437,23108472,1528813,2855
"Central, Cote d'Ivoire",8020,23108472,1576910,2853
"Abidjan, Cote d'Ivoire",0,23108472,4281696,2863
"Southwest, Cote d'Ivoire",0,23108472,2135838,2862
